,subject,month,day,year,city,region1,postal_code,lat,lng,stance
66, Greenidge Generation Power Plant ,10.0,12.0,21.0,Skaneateles,NY,13152,42.949863,-76.40971640000001,0
68, Save NY from Climate-Killing Cryptocurrency ,10.0,31.0,21.0,Rochester,NY,14625,43.1691092,-77.50781429999999,0
69, Greenidge Generation Power Plant ,11.0,5.0,21.0,Levittown,NY,11756,40.7177026,-73.530666,0
70, Greenidge Generation Power Plant ,11.0,17.0,21.0,Norwood,NY,13668,44.7475027,-75.00339040000001,0
71, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Ithaca,NY,14850,42.4418558,-76.5006308,0
72, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Elmira,NY,14904,42.07695959958583,-76.80080621291202,0
73, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Rochester,NY,14607,43.1485992,-77.5892924,0
74, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Greenwich,NY,12834-1001,43.0920784,-73.50510320000001,1
75, Greenidge Generation Power Plant ,11.0,17.0,21.0,Brooklyn,NY,11215,40.668902409090904,-73.97851668181819,0
76, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,New Berlin,NY,13411-2625,42.5769242,-75.3330383,0
77, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Queens Village,NY,11427,40.728688,-73.737116,0
78, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Queensbury,NY,12804,43.322905299999995,-73.6889523,0
79, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Ithaca,NY,14850-1271,42.4873776,-76.47621408609676,0
80, Deny Greenidge's Title V Air Permit ,11.0,18.0,21.0,Valhalla,NY,10595-1818,41.078374,-73.77564,0
81, Greenidge Generation Power Plant ,10.0,5.0,21.0,Rochester,NY,14624,43.153286200000004,-77.6880139,0
82, Save NY from Climate-Killing Cryptocurrency ,11.0,19.0,21.0,Danby,NY,14850,42.3678828,-76.4408069,0
83, Deny Greenidge's Title V Air Permit ,11.0,18.0,21.0,Watkins Glen,NY,14891-1000,42.38821970000001,-76.8785243,0
84, Deny Greenidge's Title V Air Permit ,11.0,16.0,21.0,Fairport,NY,14450-2809,43.08312685,-77.47607345162082,0
85, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Putnam Valley,NY,10579,41.419734999999996,-73.775097,0
86, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Bronxville,NY,10708,40.9442581,-73.8409861,0
87, Greenidge Generation Power Plant ,10.0,5.0,21.0,New York,NY,10026,40.8020309,-73.95237220000001,0
89, Greenidge Generation Power Plant ,11.0,5.0,21.0,New York,NY,10012,40.72799235294117,-74.00098158823529,0
90, Greenidge Generation Power Plant ,10.0,5.0,21.0,Buffalo,NY,14221,42.9847555,-78.70512629999999,0
91, Greenidge Generation Power Plant ,10.0,5.0,21.0,Burdett,NY,14818,42.42026891514449,-76.8492657664483,0
92, Greenidge Generation Power Plant ,11.0,17.0,21.0,Newburgh,NY,12550,41.51623905,-74.03258385116348,0
93, Greenidge Generation Power Plant ,10.0,5.0,21.0,Brockport,NY,14420,43.2165231,-77.9301855,0
95, Save NY from Climate-Killing Cryptocurrency ,10.0,31.0,21.0,Utica,NY,13501,43.0821049,-75.260865,0
96, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Warwick,NY,10990,41.219399100000004,-74.34886800000001,0
97, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Bayside,NY,11361,40.7676086,-73.76980591067229,0
98, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Sunnyside,NY,11104-3121,40.745360999999995,-73.9230066,0
100, Save NY from Climate-Killing Cryptocurrency ,11.0,15.0,21.0,Watkins Glen,NY,14891,42.37829463423779,-76.87326959672356,0
101, Save NY from Climate-Killing Cryptocurrency ,11.0,2.0,21.0,Katonah,NY,10536,41.2561032,-73.6897103,0
102, Save NY from Climate-Killing Cryptocurrency ,11.0,15.0,21.0,Dundee,NY,14837,42.4944035,-76.9154325,0
103, Save NY from Climate-Killing Cryptocurrency ,11.0,1.0,21.0,Baldwinsville,NY,13027,43.168563299999995,-76.351472,0
105, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Van Etten,NY,14889,42.275744,-76.56135649999997,0
107, Deny Greenidge's Title V Air Permit ,11.0,19.0,21.0,Beaver Dams,NY,14812-9143,42.283496500000005,-76.90769250000001,0
108, Greenidge Generation Power Plant ,10.0,5.0,21.0,New York,NY,10032,40.8345413125,-73.9391981875,0
109, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Rochester,NY,14607-3522,43.15033,-77.60376600000001,0
110, Save NY from Climate-Killing Cryptocurrency ,11.0,18.0,21.0,Barryville,NY,12719,41.50375379999999,-74.935108,0
111, Greenidge Generation Power Plant ,10.0,22.0,21.0,Queens,NY,11363,40.77343765,-73.73987590320827,0
112, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,New York,NY,10032-7643,40.83309410204082,-73.94280214285716,0
113, Greenidge Generation Power Plant ,10.0,5.0,21.0,Bronx,NY,10461,40.8464127,-73.8349475,0
114, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Middletown,NY,10941,41.52069205,-74.35338749582547,0
115, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Nassau,NY,12123,42.5479389,-73.62282309999999,0
116, Save NY from Climate-Killing Cryptocurrency ,10.0,31.0,21.0,Red Hook,NY,12571,42.032602600000004,-73.7871053,0
117, Deny Greenidge's Title V Air Permit ,10.0,6.0,21.0,Sleepy Hollow,NY,10591-2313,41.08588029999999,-73.8607808,0
118, Greenidge Generation Power Plant ,10.0,20.0,21.0,Ellenville,NY,12428,41.7135994,-74.39923470000001,0
119, Greenidge Generation Power Plant ,10.0,12.0,21.0,Queens,NY,11004,40.74496240000001,-73.70849575,0
120, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Vestal,NY,13850,42.0688747,-75.95031309999999,0
121, Save NY from Climate-Killing Cryptocurrency ,11.0,1.0,21.0,Watervliet,NY,12189,42.7469131,-73.71969304236842,0
122, Save NY from Climate-Killing Cryptocurrency ,11.0,14.0,21.0,Romulus,NY,14541,42.765972927015284,-76.92220243982506,0
123, Greenidge Generation Power Plant ,10.0,19.0,21.0,Newark,NY,14513,43.040672571428566,-77.08012742857143,0
124, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Schenectady,NY,12304-1940,42.78423970000001,-73.8975654,0
125, Deny Greenidge's Title V Air Permit ,11.0,16.0,21.0,Larchmont,NY,10538-1937,40.937160600000006,-73.76776170000001,0
126, Greenidge Generation Power Plant ,11.0,5.0,21.0,New York,NY,10024,40.78445802040816,-73.97122232653061,0
127, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Blauvelt,NY,10913,41.0621525,-73.9535804,0
128, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Marcellus,NY,13108,42.986323600000006,-76.3459767,0
129, Greenidge Generation Power Plant ,10.0,5.0,21.0,Jamesville,NY,13078,43.0285049,-76.0888696,0
130, Greenidge Generation Power Plant ,10.0,5.0,21.0,Binghamton,NY,13905,42.1123219,-75.9213048,0
131, Deny Greenidge's Title V Air Permit ,10.0,6.0,21.0,Scarsdale,NY,10583-2042,41.0106327,-73.7859904,0
132, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Dobbs Ferry,NY,10522,41.0043957,-73.8693234,0
134, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Brooklyn,NY,11215,40.6672365,-73.980730875,0
135, Deny Greenidge's Title V Air Permit ,11.0,19.0,21.0,Van Etten,NY,14889-9743,42.240897,-76.61593455422937,0
136, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Weedsport,NY,13166,43.085862,-76.566810869863,0
137, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Brooklyn,NY,11209-4917,40.62312110204082,-74.03402908163265,0
138, Greenidge Generation Power Plant ,10.0,5.0,21.0,Candor,NY,13743,42.228413369631575,-76.3124790802632,0
140, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Honeoye Falls,NY,14472,42.974604799999994,-77.61591779999999,0
141, Save NY from Climate-Killing Cryptocurrency ,11.0,17.0,21.0,Albany,NY,12203,42.668194799999995,-73.79202559999999,0
143, Greenidge Generation Power Plant ,10.0,22.0,21.0,Lagrangeville,NY,12540,41.6718525,-73.7104306,0
144, Greenidge Generation Power Plant ,11.0,17.0,21.0,Katonah,NY,10536,41.2591857,-73.75841059999999,0
145, Greenidge Generation Power Plant ,11.0,18.0,21.0,Hartsdale,NY,10530,41.0242776,-73.79830890000001,0
146, Deny Greenidge's Title V Air Permit ,11.0,21.0,21.0,Ithaca,NY,14850-3020,42.435925700000006,-76.52418,0
